"","topic_short","year"
"1124","ISS",2013
"1125","ISS",2011
"1126","ISS",2011
"1127","ISS",2013
"1128","ISS",2011
"1129","ISS",2010
"1130","ISS",2014
"1131","ISS",2012
"1132","ISS",2016
"1133","ISS",2016
"1134","ISS",2015
"1135","ISS",2014
"1136","ISS",2016
"1137","ISS",2015
"1138","ISS",2016
"1139","ISS",2004
"1140","ISS",2011
"1141","ISS",2015
"1142","ISS",2015
"1143","ISS",2015
"1144","ISS",2015
"1145","ISS",2015
"1146","ISS",2015
"1147","ISS",2016
"1148","ISS",2014
"1149","ISS",2016
"1150","ISS",2016
"1151","ISS",2015
"1152","ISS",2016
"1153","ISS",2015
"1154","ISS",2016
"1155","ISS",2015
"1156","ISS",2016
"1157","ISS",2015
"1158","ISS",2016
"1159","ISS",2014
"1160","ISS",2014
"1161","ISS",2014
"1162","ISS",2009
"1163","ISS",2010
"1164","ISS",2011
"1165","ISS",2015
"1166","ISSAC",2012
"1167","ISSAC",2011
"1168","ISSI",2006
"1169","ISSI",2002
"1170","ISTAR",2013
"1171","IVGEN",2011
"1172","Iwase",2013
"1173","Izgib",2001
"1174","Izgib",2003
"1175","Izgib",2006
"1176","J",2011
"1177","JAXA",2014
"1178","JAXA",2013
"1179","JAXA",2016
"1180","JAXA",2012
"1181","JAXA",2012
"1182","JAXA",2013
"1183","JAXA",2016
"1184","JAXA",2015
"1185","JAXA",2011
"1186","JAXA",2006
"1187","JAXA",2010
"1188","JAXA",2003
"1189","JAXA",2011
"1190","JAXA",1997
"1191","JAXA",2005
"1192","JAXA",2006
"1193","JAXA",2011
"1194","JAXA",2012
"1195","JAXA",2008
"1196","JAXA",2006
"1197","JAXA",2009
"1198","JAXA",2015
"1199","JAXA",2010
"1200","JAXA",2002
"1201","JAXA",2006
"1202","JAXA",2005
"1203","JAXA",2010
"1204","JAXA",2004
"1205","JAXA",2006
"1206","JAXA",2007
"1207","JAXA",2011
"1208","JAXA",2014
"1209","JAXA",2015
"1210","JAXA",2010
"1211","JAXA",2011
"1212","JAXA",2012
"1213","JAXA",2010
"1214","JAXA",2012
"1215","JAXA",2011
"1216","JAXA",2012
"1218","JEM",2011
"1219","JEM",2011
"1220","JEM",2011
"1221","JEM",2011
"1222","Journals",2016
"1223","Journals",2010
"1224","KAP",2015
"1225","Kaplya",2015
"1226","Kappa",2005
"1227","KAPPA",2014
"1228","KFT",2011
"1229","KFT",2005
"1230","Kikuchi",2015
"1231","Kikuchi",2015
"1232","Kikuchi",2015
"1233","Kikuchi",1984
"1234","KONTUR",2016
"1235","Kornilova",2004
"1236","Kristallizator",2008
"1237","Kristallizator",2015
"1238","Kristallizator",2016
"1239","Kristallizator",2016
"1240","Kristallizator",2013
"1241","Kromka",2003
"1242","Kromka",2008
"1243","Kromka",2008
"1244","LADA",2014
"1245","Lada",2005
"1246","Lada",2015
"1247","Lada",2008
"1248","Latent",2009
"1249","Latent",2004
"1250","Latent",2005
"1251","Latent",2000
"1252","Latent",2000
"1253","Latent",2003
"1254","LAZIO",2001
"1255","LAZIO",2007
"1256","Leikin",2015
"1257","Leukin",2012
"1258","Lithopanspermia",2011
"1259","LOCAD",2008
"1260","LOCAD",2008
"1261","LOCAD",2009
"1262","LOCAD",2010
"1263","LOCAD",2012
"1264","LOCAD",2011
"1265","LOCAD",2009
